activity_name,best_match,confidence_score,category
organisation d’événement touristique,دليل في السياحة,0.857,rejected because has rejistre comercial or hirafi
مربية أولاد,ﺑﺎﻷطﻔﺎﻝ,0.888,rejected because has rejistre comercial or hirafi
beautés esthétique,Other,0.705,new propodsed
beautés esthétique,Other,0.705,new propodsed
"consultant intégrateur de solution de gestion ""erp, logicielmétier",محلل مطور البرامج المعلوماتية,0.844,exist
s'associé,Other,0.799,new propodsed
la formation académique,Other,0.775,new propodsed
عامل في المذبح البلدي,Other,0.761,new propodsed
conseiller en organisation d'entreprise,conseiller en organisation d'entreprise,1.0,exist
التوصيل,خطاط متنقل,0.89,rejected because has rejistre comercial or hirafi
styliste culinaire ( food designer),Other,0.796,new propodsed
consultant en immobilier et construction,Other,0.789,new propodsed
e-commerce,محلل التجارة الإلكترونية,0.953,exist
directeur des achats et approvisionnements,مسؤول المبيعات المتوقعة,0.838,exist
consultant en restauration et hôtellerie,Other,0.749,new propodsed
خدمات منزلية,Other,0.782,new propodsed
خدمات منزلية,Other,0.782,new propodsed
responsable du développement commercial,Other,0.795,new propodsed
partenaire commercial,Other,0.83,new propodsed
entraîneur,coach sportif,0.93,exist
الصيد البحري,Other,0.821,new propodsed
مصنع العطور,Other,0.787,new propodsed
comptabilite et finance,مؤسسة المحاسبة,0.866,rejected because has rejistre comercial or hirafi
livreur,cadreur,0.87,exist
livreur,cadreur,0.87,exist
ecole de formation des langues,مؤسسة تعليم اللغات,0.94,rejected because has rejistre comercial or hirafi
مساعد في تسيير المنازعات,Other,0.711,new propodsed
etudes des corps d'etats technique dans le batiment tértiaire et industrielle,وآﻻت اﻟﺣﺑﺎﻛﺔ اﻟﺻﻧﺎﻋﻳﺔ اﻟﺗرﻳﻛو,0.838,rejected because has rejistre comercial or hirafi
consultante en gestion administrative,consultant en organisation et management,0.91,exist
elatonneur video ou coloriste,Other,0.679,new propodsed
مختصة تجميل وعناية بالبشرة estheticienne,ﺣرﻓﻲ ﻣﺧﺗص ﻓﻲ اﻟﺗﺟﻣﻳﻝ ﺟﻣﺎﻟﻲ,0.91,rejected because has rejistre comercial or hirafi
organisateur d'évènements,organisateur de réceptions,0.878,exist
النباتات و المنتوجات العذائية الطبيعية المنزلية,Other,0.697,new propodsed
تنظيف المنازل والمكاتب  من كل النواحي,ﺣرﻓﻲ ﻓﻲ ﺗﻧظﻳف واﺟﻬﺎت اﻟﺑﻧﺎﻳﺎت و اﻟﻌﻣﺎرات,0.847,rejected because has rejistre comercial or hirafi
automatisme et électricité industrielle,opérateur sur machines automatisées en production électrique,0.839,exist
transport de marchandises,و كيل نقل البضائع,0.9,rejected because has rejistre comercial or hirafi
عون متعدد الخدمات,مؤسسة خدمات المواني,0.894,rejected because has rejistre comercial or hirafi
formation et conseil,Other,0.762,new propodsed
bureau d'étude géologique,جيولوجي في البحث الاستشرافي,0.908,exist
conception et réalisation de stand,Other,0.825,new propodsed
"رجل افكار، , idéateur, idea man.",Other,0.776,new propodsed
extras restauration,Other,0.801,new propodsed
صيانة و تركيب و تلحيم كابلات الالياف البصرية,Other,0.823,new propodsed
ecrivain public,Other,0.791,new propodsed
ecrivain public,Other,0.791,new propodsed
architecture,مؤسسة معمارية,0.883,rejected because has rejistre comercial or hirafi
charger de la logistique d'une entreprise de livraison  مكلف باللوجستيات في شركة التوصيل,Other,0.722,new propodsed
transcription/ النسخ الصوتي,Other,0.567,new propodsed
نجار,ﺣرﻓﻲ ﻧﺟﺎر ﻓﻧﻲ,0.898,rejected because has rejistre comercial or hirafi
huilerie,Other,0.762,new propodsed
الخدمة المواجهة للأشخاص,Other,0.77,new propodsed
gestionnaire de tâches,Other,0.821,new propodsed
consultant en investissement immobilières.,Other,0.786,new propodsed
conseiller en organisation d'entreprise,conseiller en organisation d'entreprise,1.0,exist
onglerie,altiste,0.883,exist
تهيئة المساحات الخضراء,تهيئة المساحات الخضراء,1.0,rejected because has rejistre comercial or hirafi
كرهرباء معمارية,مؤسسة معمارية,0.922,rejected because has rejistre comercial or hirafi
مصلح هواتف,تقني صيانة في مجال الهواتف,0.91,exist
تغليف سطوح,Other,0.739,new propodsed
تغليف سطوح,Other,0.739,new propodsed
تعبئة الهاتف النقال ومستلزماته,اﻟﻬﺎﺗف اﻟﻧﻘﺎﻝ وآﻻت اﻻﺗﺻﺎﻝ ﻋن,0.85,rejected because has rejistre comercial or hirafi
apprentissage en ligne,متخصص في التعلم عبر الإنترنت,0.898,exist
aménagement et publicité,Other,0.816,new propodsed
صناعة الحلويات,ﺻﻧﺎﻋﺔ اﻟﺣﻠوﻳﺎت,1.0,rejected because has rejistre comercial or hirafi
travaux secretariat,Other,0.719,new propodsed
ecrivain public,Other,0.791,new propodsed
تركيب الالواح الشمسية,ﺣرﻓﻲ ﻓﻲ ﺗرﻛﻳب ﺗﺟﻬﻳزات وﻋﺗﺎد ﺗوﻟﻳد اﻟطﺎﻗﺔ اﻟﺷﻣﺳﻳﺔ,0.884,rejected because has rejistre comercial or hirafi
conseil en immigration et gestion des visas,Other,0.773,new propodsed
ميكانيك السيارات,ميكانيكي متنقل للسيارات,0.882,rejected because has rejistre comercial or hirafi
communication de crise,Other,0.761,new propodsed
arts plastique,Other,0.793,new propodsed
مستشار ادارة اعمال,مستشار مختص في إدارة الأعمال,0.947,exist
technicien balancier,technicien plateau,0.917,exist
technicien balancier,technicien plateau,0.917,exist
"etude ,procure-ment et réalisation",Other,0.805,new propodsed
technicien balancier,technicien plateau,0.917,exist
transport de marchandises et livraisons,و كيل نقل البضائع,0.887,rejected because has rejistre comercial or hirafi
technicien en chaufferie industrielle,technicien de maintenance de remontées mécaniques,0.93,exist
تهيئة وترميم و ديكور المنازل,Other,0.827,new propodsed
conception et calcul de construction,Other,0.793,new propodsed
livraison domicile,Other,0.774,new propodsed
électricien bâtiment,ﺣرﻓﻲ ﻛﻬرﺑﺎﺋﻲ  ﻓﻲ اﻟﺑﻧﺎﻳﺎت ﺗرﻛﻳب اﻟﻛﻬرﺑﺎء,0.908,rejected because has rejistre comercial or hirafi
consultant en conformité des installations et équipements dans les secteurs des hydrocarbures et des mines.,Other,0.752,new propodsed
صنع الحلويات,ﺻﻧﺎﻋﺔ اﻟﺣﻠوﻳﺎت,0.916,rejected because has rejistre comercial or hirafi
تربية الحيوانات,Other,0.801,new propodsed
حلويات منزلية,حلويات,0.933,rejected because has rejistre comercial or hirafi
artisan spécialisé en produits cosmétiques,Other,0.819,new propodsed
commercial,Other,0.792,new propodsed
توريد و توزيع جميع عتاد المخابز و تجهيز المطابخ الكبرى و المحلات,Other,0.787,new propodsed
consultant des langues étrangères,Other,0.772,new propodsed
mécanique auto,ﺣرﻓﻲ ﻣﻳﻛﺎﻧﻳﻛﻲ اﻟﺳﻳﺎرات اﻟﺗﺻﻠﻳﺢ اﻟﻣﻳﻛﺎﻧﻳﻛﻲ ﻟﻠﺳﻳﺎرات,0.893,rejected because has rejistre comercial or hirafi
mécanique auto léger.,ﺣرﻓﻲ ﻣﻳﻛﺎﻧﻳﻛﻲ اﻟﺳﻳﺎرات اﻟﺗﺻﻠﻳﺢ اﻟﻣﻳﻛﺎﻧﻳﻛﻲ ﻟﻠﺳﻳﺎرات,0.832,rejected because has rejistre comercial or hirafi
couture,couturier spectacle,0.832,exist
"consultant en planification, organisation et suivi budgétaire des projets btp",Other,0.759,new propodsed
الباعة و التغليف,اﻟرﺗق و اﻟﺗرﻗﻳﻊ,0.922,rejected because has rejistre comercial or hirafi
الوساطة و مجال الأعمال,Other,0.736,new propodsed
"chef décorateur et accessoiriste , deuxième assistant réalisateur",deuxième assistant réalisateur,0.86,exist
soudage professionnel,Other,0.829,new propodsed
chauffeur,chauffeur de salle,0.881,exist
plaquiste plafond,Other,0.741,new propodsed
technicien production animale,technicien production animale,1.0,exist
خياطة,اﻟﺳﺎﻗﻳﺔ,0.986,rejected because has rejistre comercial or hirafi
مطبغة ورقية,Other,0.797,new propodsed
réparateur des téléphones portables,ﺣرﻓﻲ ﻓﻲ ﺗﺻﻠﻳﺢ اﻟﻬﺎﺗف اﻟﺛﺎﺑت اﻟﻬﺎﺗف اﻟﻧﻘﺎﻝ وآﻻت اﻻﺗﺻﺎﻝ ﻋن ﺑﻌد,0.877,rejected because has rejistre comercial or hirafi
réparateur des téléphones portables,ﺣرﻓﻲ ﻓﻲ ﺗﺻﻠﻳﺢ اﻟﻬﺎﺗف اﻟﺛﺎﺑت اﻟﻬﺎﺗف اﻟﻧﻘﺎﻝ وآﻻت اﻻﺗﺻﺎﻝ ﻋن ﺑﻌد,0.877,rejected because has rejistre comercial or hirafi
formation professionnelle,Other,0.711,new propodsed
travaux public,Other,0.757,new propodsed
التكوين في المحاسبة والجباية والموارد البشرية,Other,0.788,new propodsed
دروس دعم,Other,0.649,new propodsed
filmmakers,producteur cinéma,0.867,exist
"رئيس مشروع تركيب وصيانة وتشغيل أنظمة وشبكات الإعلام آلي والمراقبة والانذار / chef projet de montage, maintenance et exploitation des système et réseaux d'informatique, supervision et alarme",Other,0.75,new propodsed
ادارة وتسيير الاعمال,responsable d'affaires en industrie,0.843,exist
صناعة المجوهرات و الحلي التقليدي,ﺻﻧﺎﻋﺔ اﻟﺣﻠﻲ اﻟﺗﻘﻠﻳدﻳﺔ,0.938,rejected because has rejistre comercial or hirafi
وكالة إشهارية,وكالة الإشهار,0.941,rejected because has rejistre comercial or hirafi
formateur pedagogique des instructeur,Other,0.727,new propodsed
consultant,consultant en management,0.856,exist
بائع الخضر والفواكه بالتجزئة,تاجر متنقل للخضر و الفواكه على مستوى أسواق البلديات,0.929,rejected because has rejistre comercial or hirafi
consultant en organisation,consultant en organisation,1.0,exist
اشهار,محضر الطعام,0.864,rejected because has rejistre comercial or hirafi
مسوق عبر الانترنت,مسوق التجارة الالكترونية,0.952,exist
تصليح كهرباء السيارات,تصليح كهرباء السيارات,1.0,rejected because has rejistre comercial or hirafi
تصليح كهرباء السيارات,تصليح كهرباء السيارات,1.0,rejected because has rejistre comercial or hirafi
formation de bureautique informatique,Other,0.737,new propodsed
commerce,Other,0.786,new propodsed
conseil,Other,0.744,new propodsed
création et organisation d événements sportifs et culturels,Other,0.695,new propodsed
exportation des marchandises,Other,0.718,new propodsed
نقل عمومي للبضائع والتوزيع,Other,0.778,new propodsed
physiotherapeute,Other,0.781,new propodsed
النقل الاشخاص,نقل الأشخاص الموجه,0.889,rejected because has rejistre comercial or hirafi
تصليح و تركيب الألياف البصرية,Other,0.803,new propodsed
"formation , conseil et expertise",Other,0.755,new propodsed
gâteau traditionnel,حلويات تقليدية,0.855,rejected because has rejistre comercial or hirafi
مسير حي ترقوي,Other,0.672,new propodsed
livraison de marchandise,و كيل نقل البضائع,0.924,rejected because has rejistre comercial or hirafi
"réalisation de piscines,spa et sauna .",Other,0.766,new propodsed
consultant en management qualité,consultant en management qualité,1.0,exist
peinture palacou platre decoration des miason,Other,0.78,new propodsed
chargé d'étude en environnement,chargé d'études en environnement,0.998,exist
intervenant en prévention des risques professionnels,intervenant en prévention des risques professionnels,1.0,exist
auditeur qualité en industrie,auditeur qualité en industrie,1.0,exist
résponsable de gestion des contrats marché,responsable de gestion des contrats marchés,0.921,exist
agricoles diverses,agroéconomiste,0.846,exist
مسجل في مواقع العمل/بناء ملفات مهنية,Other,0.728,new propodsed
مدير تكنولوجيا المعلومات والاتصال,مسؤول مركز الاتصال في الصيانة المعلوماتية,0.874,exist
transport,تسيير هياكل النقل البري,0.837,rejected because has rejistre comercial or hirafi
تربية الحيوانات الالية وانتاجها داخل الاقفاص,Other,0.828,new propodsed
audit énergétique,Other,0.662,new propodsed
naturopathie,Other,0.645,new propodsed
hypnothérapie,Other,0.512,new propodsed
فني تبريد وتكيف وتكيب غرف التجميد,Other,0.738,new propodsed
تجارة الالكترونية,محلل التجارة الإلكترونية,0.966,exist
كهرباء,كهربائي البلاطو,0.905,exist
تخصص الارطفونيا,اختصاصي تبريد,0.843,exist
محلل طبي analyste médical,Other,0.819,new propodsed
تجارة بالتجزءة لكل انواع المنتجات بالمراسلة و إلى غاية المنزل,تجارة بالتجزئة لكل أنواع المنتجات بالمراسلة أو إلى غاية المنزل,0.954,rejected because has rejistre comercial or hirafi
الترصيص الصحي,ﺣرﻓﻲ ﻣرﺻص اﻟﺗرﺻﻳص اﻟﺻﺣﻲ,0.909,rejected because has rejistre comercial or hirafi
مساعد في التسوق,مساعد(ة)  في التسوق,0.975,exist
ترصيص صحي وغاز,لحام بالغاز المعدني الخامل mig-,0.873,exist
غسل متنقل السيارات,ﺣرﻓﻲ ﻓﻲ ﺗﻧظﻳف و ﻏﺳﻝ اﻟﻣرﻛﺑﺎت ﺗﻧظﻳف و ﻏﺳﻝ اﻟﻣرﻛﺑﺎت,0.891,rejected because has rejistre comercial or hirafi
خدمات التأشيرة,Other,0.713,new propodsed
formation et accompagnement,Other,0.763,new propodsed
مهند حاسوب,technicien informatique,0.908,exist
expertise de vente en ligne,spécialiste en vente en ligne,0.916,exist
animatrice,animateur de spectacle,0.918,exist
transcription/التفريغ الصوتي,Other,0.573,new propodsed
couturière,aciériste versée coulée,0.896,exist
menuiserie aluminium,Other,0.758,new propodsed
menuiserie aluminium,Other,0.758,new propodsed
artiste,وكيل فنان,0.895,exist
nettoyage industriel - التنظيف الصناعي,Other,0.752,new propodsed
assistante virtuelle,Other,0.713,new propodsed
ميكانيك سيارات,ميكانيكي متنقل للسيارات,0.873,rejected because has rejistre comercial or hirafi
حلويات تقليدية معلبة,حلويات تقليدية,0.982,rejected because has rejistre comercial or hirafi
حلويات تقليدية معلبة,حلويات تقليدية,0.982,rejected because has rejistre comercial or hirafi
"chef décorateur ,  accessoiriste , deuxième assistant réalisateur",deuxième assistant réalisateur,0.849,exist
مجمع رياضي ( قاعة رياضية_مسبح _العناية الجسدية),Other,0.81,new propodsed
إدخال العملة الصعبة إلى البلاد عن طريق ربط السوق المحلي بالأسواق العالمية وتشجيع التصدير من خلال موقع yaya mall,Other,0.53,new propodsed
topographe,Other,0.652,new propodsed
نقل الأشخاص,نقل الأشخاص الموجه,0.943,rejected because has rejistre comercial or hirafi
coach de tennis long,Other,0.705,new propodsed
عامل توصيل الطلبيات,Other,0.825,new propodsed
maçon,مرشات,0.858,rejected because has rejistre comercial or hirafi
naturopathe,Other,0.641,new propodsed
esthétique,Other,0.732,new propodsed
fabrication d’articles de décoration artisanales,ﺻﻧﺎﻋﺔ ﻣﻧﺗﺟﺎت ﻓﻧﻳﺔ ﻣن اﻟﻔﻠﻳن,0.893,rejected because has rejistre comercial or hirafi
esthétique,Other,0.732,new propodsed
صنع كنكريت وشموع,عازف الناي,0.931,exist
chauffeur,chauffeur de salle,0.881,exist
تصليح التجهيزات والمعدات المكتبية,تصليح التجهيزات والمعدات المكتبية,1.0,rejected because has rejistre comercial or hirafi
تسهيل البيع و الشراء بالضمان عبر التجارة الالكترونية,محلل التجارة الإلكترونية,0.84,exist
مختص في علم الاجتماع و التخطيط الحضري,Other,0.789,new propodsed
تنظيف المنازل والمؤسسات العمومية وافرشة عن طريق,ﺣرﻓﻲ ﻓﻲ ﺗﻧظﻳف واﺟﻬﺎت اﻟﺑﻧﺎﻳﺎت و اﻟﻌﻣﺎرات,0.884,rejected because has rejistre comercial or hirafi
lifting engineering / supervision,Other,0.726,new propodsed
"coiffeur, salon de beauté pour homme",Other,0.786,new propodsed
prothèse dentaire,Other,0.685,new propodsed
auxiliere de vie,auxiliaire de vie,0.967,exist
formation en nutrition,Other,0.626,new propodsed
محل بيتزيريا,Other,0.779,new propodsed
maintenance aéronautique,Other,0.778,new propodsed
conseillé(re) en nutrition/ diététicien,Other,0.672,new propodsed
placo platre@paint,Other,0.707,new propodsed
خدمات الترفيه والتسلية / خدمات الترفيه والتسلية,Other,0.684,new propodsed
couture et prêté à porter,ﺧﻳﺎطﺔ وﺗﻔﺻﻳﻝ اﻟﻣﻼﺑس اﻟﺟﻠدﻳﺔ,0.899,rejected because has rejistre comercial or hirafi
robe kabyle et retouches,Other,0.675,new propodsed
صنع الحلويات,ﺻﻧﺎﻋﺔ اﻟﺣﻠوﻳﺎت,0.916,rejected because has rejistre comercial or hirafi
صنع الحلويات,ﺻﻧﺎﻋﺔ اﻟﺣﻠوﻳﺎت,0.916,rejected because has rejistre comercial or hirafi
كاتب عمومي,Other,0.796,new propodsed
confection prêt à porter,Other,0.782,new propodsed
formateur consultant en santé et sécurité au travail,Other,0.792,new propodsed
الإشهار العقاري,ديوان الترقية و التسيير العقاري,0.929,rejected because has rejistre comercial or hirafi
atelier de créations d'outils éducatifs,Other,0.795,new propodsed
بيع منتوج تقليدي,تجارة بالتجزئة للسخاتة التقليدية,0.896,rejected because has rejistre comercial or hirafi
services d'interprétariat consécutif,Other,0.822,new propodsed
ingénieur en génie pharmaceutique industriel,technicien chimiste en recherche-développement,0.844,exist
نشاط التدليك والعناية الجسدية,Other,0.638,new propodsed
ascenseurs,monteur d'ascenseurs,0.961,exist
artisan,صانع يدوي للقوالب,0.833,exist
طباعة حسب الطلب,طباعة روتوغرافية,0.884,exist
chef cuisinier,chef costumier,0.889,exist
صناعة الحلويات و توزيعها,ﺻﻧﺎﻋﺔ اﻟﺣﻠوﻳﺎت,0.932,rejected because has rejistre comercial or hirafi
ترجمة,مقتبس-مترجم,0.939,exist
مهندس مدني,مهندس في البستنة,0.885,exist
installation de caméra de télésurveillance,تقني صيانة في تركيبات المراقبة بالفيديو,0.86,exist
مهندس فلاحي,Other,0.791,new propodsed
نشاط انتاج الملابس والخياطة,تجارة بالتجزئة للأقمشة و النساجة,0.84,rejected because has rejistre comercial or hirafi
يايا مول: مبادرة استراتيجية لدفع التجارة الإلكترونية الجزائرية نحو العالمية,Other,0.678,new propodsed
صناعة الحلويات,ﺻﻧﺎﻋﺔ اﻟﺣﻠوﻳﺎت,1.0,rejected because has rejistre comercial or hirafi
yaya mall: a strategic initiative to propel algerian e-commerce onto the global stage,Other,0.579,new propodsed
agence de marketing,chargé d'études en marketing,0.834,exist
export manager,Other,0.569,new propodsed
boutique en ligne/pod/impression,Other,0.765,new propodsed
لاسيرونس عند بريفي,Other,0.782,new propodsed
كهربائي,مطوِّر لأنظمة كهربائية,0.916,exist
charpente bois,Other,0.733,new propodsed
كاتب عمومي,Other,0.796,new propodsed
maintenance des équipements industriels,electricien de maintenance en équipements industriels,0.902,exist
كاتب عمومي,Other,0.796,new propodsed
عامل توصيل الطلبيات البريد السريع,Other,0.826,new propodsed
sous-traitance industrielle,Other,0.707,new propodsed
beauté,Other,0.731,new propodsed
formateur pedagogique des instructeurs,Other,0.813,new propodsed
guide touristique,دليل في السياحة,0.863,rejected because has rejistre comercial or hirafi
maintenance des équipements industriels,electricien de maintenance en équipements industriels,0.902,exist
service aux entreprises,مؤسسة خدمات المواني,0.859,rejected because has rejistre comercial or hirafi
مهندس بنايات مدنية و صناعية,رسام تنفيذي في البناءات الميكانيكية,0.859,exist
location de voitures,Other,0.802,new propodsed
agent polyvalent,Other,0.55,new propodsed
agent polyvalent,Other,0.55,new propodsed
conciergerie,Other,0.783,new propodsed
commerçant,وكيل تجاري,0.868,rejected because has rejistre comercial or hirafi
service en freelance,Other,0.662,new propodsed
industrie alimentaire,ﺻﻧﺎﻋﺔ اﻟﻣواد اﻟﻐذاﺋﻳﺔ اﻟﻣرﻛﺑﺔ,0.919,rejected because has rejistre comercial or hirafi
خبز وحلويات تقليدية,حلويات تقليدية,0.848,rejected because has rejistre comercial or hirafi
directeur artistique,مدير أعمال الفنان,0.954,exist
التشريع الرياضي و الجمعوي,Other,0.771,new propodsed
اعمال سكريتارية وكتابة عمومية,Other,0.708,new propodsed
consultant et services en geosciences,Other,0.826,new propodsed
formation et assistance opérationnelle des maintenanceiers cimenterie,Other,0.745,new propodsed
تركيب وتفريش القاعات,تقني في تركيب المصاعد,0.899,exist
ingénierie civile,Other,0.755,new propodsed
خبيرة تجميل وحلاقة,ﺣرﻓﻲ ﻣﺧﺗص ﻓﻲ اﻟﺗﺟﻣﻳﻝ ﺟﻣﺎﻟﻲ,0.867,rejected because has rejistre comercial or hirafi
وسلطة تجارية بين الموردين والشركات,Other,0.775,new propodsed
حلواني,ﺣرﻓﻲ ﺣﻠواﻧﻲ,0.925,rejected because has rejistre comercial or hirafi
ترميم منازل,Other,0.783,new propodsed
plombier,technicien de plancher,0.905,exist
formation,Other,0.688,new propodsed
607038 مؤسسة التلبيس,Other,0.684,new propodsed
conseil en systèmes d'information,استشاري في أنظمة المعلومات,0.901,exist
graphic designer,designer graphique,0.959,exist
plomberie sanitaire et gaz,Other,0.827,new propodsed
designer decorateur / decorateur d'intérieur,مشغل ومصمم آلات الديكور,0.881,exist
نادي الأطفال,Other,0.736,new propodsed
habillage adhésif,Other,0.696,new propodsed
بستنة,بستاني,0.982,exist
maintenance des équipements industriels,electricien de maintenance en équipements industriels,0.902,exist
كاتب عمومي ومكتب استشارات قانونية,مكتب الاستشارة القانونية,0.855,rejected because has rejistre comercial or hirafi
maintenance des équipements industriels,electricien de maintenance en équipements industriels,0.902,exist
montage d'échafaudage - تركيب الصقالة,Other,0.743,new propodsed
dessalement de l'eau de mer,ﺗﺻﻔﻳﺔ اﻟﻣﻳﺎﻩ,0.832,rejected because has rejistre comercial or hirafi
ingénieur en hydraulique urbaine,ingénieur des réservoirs et des boues,0.881,exist
مساح طوبوغراف,اﻟﺧردوات,0.86,rejected because has rejistre comercial or hirafi
الترصيص الصحي,ﺣرﻓﻲ ﻣرﺻص اﻟﺗرﺻﻳص اﻟﺻﺣﻲ,0.909,rejected because has rejistre comercial or hirafi
خبازة و حلويات,حلويات,0.943,rejected because has rejistre comercial or hirafi
soudage conseil formation expertise,Other,0.741,new propodsed
soudage,fondeur,0.903,exist
كهربائي,مطوِّر لأنظمة كهربائية,0.916,exist
consultant formateur du personnel technique des cimenteries,Other,0.802,new propodsed
transport de marchandises,و كيل نقل البضائع,0.9,rejected because has rejistre comercial or hirafi
tournage,Other,0.737,new propodsed
médecine à domicile,Other,0.743,new propodsed
consultant des langues étrangères,Other,0.772,new propodsed
enseignement et formation,Other,0.721,new propodsed
des etudes et des expertises dans le domaine des bâtiments,Other,0.816,new propodsed
service de livraion de nouritteur,Other,0.776,new propodsed
كل ما يحتاج (fastfood _pizzeria_cafetirea........),Other,0.775,new propodsed
consultant en actuariat,Other,0.733,new propodsed
caméra,مصور بالكاميرا,0.915,exist
école de langue étrangére,مؤسسة تعليم اللغات,0.899,rejected because has rejistre comercial or hirafi
restaurateurs des monuments historiques architecture,Other,0.773,new propodsed
panneau solaire,اﻟﺷﻣﺳﻳﺔ,0.934,rejected because has rejistre comercial or hirafi
superviseur des operations pétrolière,technicien analyse en exploration pétrolière,0.862,exist
produits cosmétiques,Other,0.8,new propodsed
formation en développement d'applications mobiles multiplateforme,Other,0.804,new propodsed
"organisateur de excursion, randonnée, séjours et développement du tourisme local",Other,0.786,new propodsed
تطبيقات الخدمات للهاتف المحمول,Other,0.745,new propodsed
تصميم تجربة المستخدم/واجهة المستخدم,مطور واجهة المستخدم,0.846,exist
توازي و توازن العجلات,توازن و توازي العجلات,0.987,rejected because has rejistre comercial or hirafi
technicien supérieur en bâtiment et travaux publics,Other,0.822,new propodsed
conseiller et superviseur comptable,الخبير المحاسب,0.9,rejected because has rejistre comercial or hirafi
préparation de cuisine traditionnelle,Other,0.739,new propodsed
الخدمات اللوجستية,Other,0.8,new propodsed
نسخ وبرمجة برمجة مفاتيح السيرات,Other,0.723,new propodsed
medecin / consultation a domicile,Other,0.738,new propodsed
خبز وحلويات تقليدية,حلويات تقليدية,0.848,rejected because has rejistre comercial or hirafi
vendre des produits cosmétiques,تجارة بالتجزئة لمنتجات العطارة و مواد التجميل,0.905,rejected because has rejistre comercial or hirafi
محل لعسل وتشحيم السيارات,مطلة ودهن السيارات,0.861,rejected because has rejistre comercial or hirafi
plaque au plâtre,Other,0.82,new propodsed
pâtisserie/,Other,0.785,new propodsed
charger d'affaires,Other,0.76,new propodsed
"prestations affaires business , conseils immobilier et",Other,0.791,new propodsed
vente en ligne,Other,0.666,new propodsed
خدمات الألياف البصرية,Other,0.728,new propodsed
الخبرات العقارية.والهندسة المعمارية.,Other,0.814,new propodsed
projeteuse ouvrages d'art,chargé artistique spectacle,0.894,exist
التجارة الالكترونية,محلل التجارة الإلكترونية,0.984,exist
صناعة و تركيب العطور,ﺗﺣﺿﻳر اﻷﻣﻌﺎء و اﻟﻣﺻﺎرﻳن,0.862,rejected because has rejistre comercial or hirafi
consultant,consultant en management,0.856,exist
conception de décoration d'intérieur,designer mobilier,0.836,exist
gestion des biens immobiliers,إدارة الأملاك العقارية,0.976,rejected because has rejistre comercial or hirafi
معلمة في دروس خصوصية,enseignant(e) particulier(e),0.918,exist
impression sur tissu الطباعة علي القماش,ﺣرﻓــــﻲ ﻏــــﺎزﻝ اﻟﺻــــوف و اﻟﺧﻳــــوط ﻏزﻝ اﻟﺻوف و اﻟﺧﻳط,0.916,rejected because has rejistre comercial or hirafi
habillage adhésif tout type de surface,Other,0.694,new propodsed
الحجامة,Other,0.814,new propodsed
نتوارك ماركوتنغ,توضيب  البلاطو,0.949,exist
service pétrolier,مؤسسة الخدمات البترولية,0.888,rejected because has rejistre comercial or hirafi
استلام اشغال البناء والتصميم والديكور,Other,0.821,new propodsed
faux plafond,Other,0.726,new propodsed
expertise sur la gestion des nuisibles et le contrôle des  vecteurs,Other,0.685,new propodsed
elec. tel,Other,0.691,new propodsed
dessinateur projeteur en architecture,architecte en décors spectacle,0.867,exist
auditeur energetique,Other,0.78,new propodsed
chargé(e) de la logistique d'une entreprise de livraison,chargé(e) de la logistique d'une entreprise de livraison,1.0,exist
field service engineer / ingénieur chantiers,Other,0.726,new propodsed
صناعة موادالتجميل الطبيعي,Other,0.782,new propodsed
nettoyage des vitres,Other,0.77,new propodsed
مسوق التجارة الإلكترونية,مسوق التجارة الالكترونية,0.996,exist
مسوق التجارة الإلكترونية,مسوق التجارة الالكترونية,0.996,exist
tôlier,braseur,0.928,exist
livraison de gateau,وسيط الشحن,0.851,rejected because has rejistre comercial or hirafi
سياحه فنادق مطاعم,فندق و مطعم سياحي,0.942,rejected because has rejistre comercial or hirafi
product owner / analyst,Other,0.706,new propodsed
سياحه فنادق مطاعم,فندق و مطعم سياحي,0.942,rejected because has rejistre comercial or hirafi
coiffeur mobile,Other,0.826,new propodsed
سياحه فنادق مطاعم,فندق و مطعم سياحي,0.942,rejected because has rejistre comercial or hirafi
بيع وتوزيع جميع قطع غيار سيرغاز,Other,0.779,new propodsed
comptable,المحاسب المعتمد,0.885,rejected because has rejistre comercial or hirafi
organnisateur de bivouac,Other,0.664,new propodsed
traiteur,Other,0.828,new propodsed
"spécialiste dans la gestion administrative, financière et informatique des organismes et associations",Other,0.811,new propodsed
installation réseau informatique,Other,0.752,new propodsed
agent technique de sécurité incendie/عون السلامة من الحرائق,كاتب سيناريو,0.834,exist
vente en ligne,Other,0.666,new propodsed
ميكانيكي عام,Other,0.819,new propodsed
بائع لمختلف السلع,Other,0.821,new propodsed
plombier chauffagiste,مصلح آلات الخياطة,0.912,exist
بائع للجملة مواد غذائية,تاجر متنقل لأغذية المواشي و الدواجن,0.891,rejected because has rejistre comercial or hirafi
استغلال الطاقة الشمسية في لافتات الطريق واشارات المرور,Other,0.685,new propodsed
يايا مول: مبادرة استراتيجية لدفع التجارة الإلكترونية الجزائرية نحو العالمية,Other,0.678,new propodsed
intermédiaire immobilier,وكالة عقارية,0.897,rejected because has rejistre comercial or hirafi
nutritionniste-diététicien,Other,0.736,new propodsed
"consultant en commerce extérieur ""import-export""",Other,0.698,new propodsed
saisie et analyse comptable,مؤسسة المحاسبة,0.832,rejected because has rejistre comercial or hirafi
